Data Set,Target,Biological_Group_Sample,Control,Relative Quantity,Relative Quantity(lg),Relative Quantity SD,Corrected Relative Quantity SD,SD RQ(lg),Relative Quantity SEM,Corrected Relative Quantity SEM,SEM RQ(lg),Relative Quantity 95% CI Low,Relative Quantity 95% CI High,Unscaled Expression,Unscaled Expression(lg),Unscaled Expression SD,Corrected Unscaled Expression SD,SD Unscaled Expression(lg),Unscaled Expression SEM,Corrected Unscaled Expression SEM,SEM Unscaled Expression(lg),Expression,Expression(lg),Expression SD,Corrected Expression SD,SD Expression(lg),Expression SEM,Corrected Expression SEM,SEM Expression(lg),Expression 95% CI Low,Expression 95% CI High,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
3-SYBR,GST1,BA84_14dpe_109,,0.41527,-1.26789,0.16120,0.16120,,0.09307,0.09307,,,,,,,,,,,,,,,,,,,,,,3,19.65,0.58351,0.33689,
4-SYBR,GST1,BA84_14dpe_1917,,0.58945,-0.76255,0.22048,0.22048,,0.12729,0.12729,,,,,,,,,,,,,,,,,,,,,,3,19.13,0.56225,0.32461,
4-SYBR,GST1,BA84_14dpe_1921,,0.56952,-0.81217,0.20168,0.20168,,0.11644,0.11644,,,,,,,,,,,,,,,,,,,,,,3,19.18,0.53230,0.30732,
3-SYBR,GST1,BA84_14dpe_230,,0.39443,-1.34215,0.17569,0.17569,,0.10143,0.10143,,,,,,,,,,,,,,,,,,,,,,3,19.73,0.66953,0.38655,
3-SYBR,GST1,BA84_14dpe_231,,0.28243,-1.82404,0.13259,0.13259,,0.07655,0.07655,,,,,,,,,,,,,,,,,,,,,,3,20.23,0.70569,0.40743,
8-SYBR,GST1,BA84_14dpe_2643,,0.83449,-0.26103,0.26374,0.26374,,0.15227,0.15227,,,,,,,,,,,,,,,,,,,,,,3,18.60,0.47507,0.27428,
8-SYBR,GST1,BA84_14dpe_2644,,0.26254,-1.92939,0.01730,0.01730,,0.00999,0.00999,,,,,,,,,,,,,,,,,,,,,,3,20.34,0.09906,0.05719,
8-SYBR,GST1,BA84_14dpe_2645,,0.33912,-1.56015,0.09686,0.09686,,0.05592,0.05592,,,,,,,,,,,,,,,,,,,,,,3,19.96,0.42932,0.24787,
8-SYBR,GST1,BA84_14dpe_2646,,0.61050,-0.71193,0.04735,0.04735,,0.02734,0.02734,,,,,,,,,,,,,,,,,,,,,,3,19.07,0.11659,0.06731,
8-SYBR,GST1,BA84_14dpe_2647,,0.71913,-0.47568,0.09324,0.09324,,0.05383,0.05383,,,,,,,,,,,,,,,,,,,,,,3,18.83,0.19489,0.11252,
8-SYBR,GST1,BA84_14dpe_2658,,0.68812,-0.53927,0.13353,0.13353,,0.07709,0.07709,,,,,,,,,,,,,,,,,,,,,,3,18.89,0.29169,0.16841,
8-SYBR,GST1,BA84_14dpe_2659,,0.43713,-1.19387,0.02839,0.02839,,0.02008,0.02008,,,,,,,,,,,,,,,,,,,,,,2,19.57,0.09763,0.06903,
8-SYBR,GST1,BA84_14dpe_2660,,0.64518,-0.63223,0.08206,0.08206,,0.04738,0.04738,,,,,,,,,,,,,,,,,,,,,,3,18.99,0.19119,0.11038,
